|IVS-       |20231123|      |327|18:15|24:00|HbKeYgHo?     |    |    |
|SPIRALS    |20231125|s003  |329|16:45|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20231127|R1    |331|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20231128|      |332|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-       |20231130|      |334|18:15|24:00|HbKeYgHo?     |    |    |
|---------------------------------------------------------------------
|SPIRALS    |20231202|s014  |336|16:45|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20231204|R1    |338|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-       |20231205|      |339|17:15|24:00|HbKeYgHo?     |    |    |
|IVS-R4     |20231206|R4    |340|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20231207|      |341|18:15|24:00|HbKeYgHo?     |    |    |
|SPIRALS    |20231209|s003  |343|16:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|SPIRALS    |20231210|s014  |344|16:00|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20231211|R1    |345|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20231213|R4    |347|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-       |20231214|      |348|18:15|24:00|HbKeYgHo?     |    |    |
|SPIRALS    |20231216|s014  |350|15:45|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20231218|R1    |352|17:15|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20231220|R4    |354|18:15|24:00|HbKeYgHo?     |UNSO|WASH|
|SPIRALS    |20231222|s015  |356|16:15|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-       |20231228|      |362|18:15|24:00|HbKeYgHo?     |    |    |
|SPIRALS    |20231229|s015  |363|15:45|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|---------------------------------------------------------------------
|---------------------------------------------------------------------
|IVS-R1     |20240101|R1    |  1|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240103|R4    |  3|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|SPIRALS    |20240105|s015  |  5|15:15|10:00|CdHoKeYgWa    |UTAS|UTAS|*
|IVS-R1     |20240108|R1    |  8|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240110|R4    | 10|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240115|R1    | 15|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240117|R4    | 17|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240122|R1    | 22|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240124|R4    | 24|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240129|R1    | 29|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240131|R4    | 31|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|------------------------------------------------------    -----------
|IVS-R1     |20240205|R1    | 36|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240207|R4    | 38|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240212|R1    | 43|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240214|R4    | 45|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240219|R1    | 50|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240221|R4    | 52|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240226|R1    | 57|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240228|R4    | 59|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|------------------------------------------------------    -----------
|IVS-R1     |20240304|R1    | 64|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240306|R4    | 66|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240311|R1    | 71|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240313|R4    | 73|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240318|R1    | 78|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240320|R4    | 80|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240325|R1    | 85|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240327|R4    | 87|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|------------------------------------------------------    -----------
|IVS-R1     |20240401|R1    | 92|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240403|R4    | 94|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
|IVS-R1     |20240408|R1    | 99|17:00|24:00|HbKeYgHo?     |NASA|BONN|
|IVS-R4     |20240410|R4    |101|18:30|24:00|HbKeYgHo?     |UNSO|WASH|
