## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR       STATIONS                             SKED CORR  STATUS  DBC  SUBM DEL 
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                     yyyymmdd CODE      days 
--------------------------------------------------------------------------------------------------------------------------------
|IVS-INT-2   |20230122|q23022      | 22|07:30| 1:00|IsMkWz                                   |DACH|GSI |        | XK |GSI |   0|
|IVS-INT-S   |20230123|z23023      | 23|06:30| 1:00|HbHt                                     |DACH|UTAS|        | MH |VIEN|   0|
|IVS-INT-3   |20230123|q23023      | 23|07:00| 1:00|IsNsWz -Ny                               |DACH|BONN|        | XK |NASA|   0|
|IVS-INT-1   |20230123|i23023      | 23|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230123|v23023      | 23|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230123|ii3023      | 23|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|VGOS-INT-Y  |20230124|y23024      | 24|14:00| 1:00|GsSaYj                                   |DACH|YEBS|        | VH |NASA|   0|
|VGOS-INT-TST|20230124|y3024a      | 24|15:15| 0:06|GsSaYj                                   |NASA|YEBS|        | VT |NASA|   0|
|IVS-INT-1   |20230124|i23024      | 24|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230124|v23024      | 24|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230125|i23025      | 25|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230125|v23025      | 25|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-1   |20230126|i23026      | 26|18:30| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
|VGOS-INT-A  |20230126|v23026      | 26|18:30| 1:00|K2Oe                                     |NASA|WASH|        | VI |NASA|   0|
|IVS-INT-00  |20230126|ii3026      | 26|23:30| 1:00|KkWz                                     |NASA|WASH|        | XZ |NASA|   0|
|IVS-INT-1   |20230127|i23027      | 27|18:45| 1:00|KkWz                                     |USNO|WASH|        | XU |NASA|   0|
