|SPIRALS     |20240824|s024e    |237|04:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240825|s030e    |238|04:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240826|s029e    |239|03:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240831|s024f    |244|03:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240901|s029f    |245|03:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240902|s030f    |246|03:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240907|s021h    |251|02:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240908|s030g    |252|03:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240909|s024g    |253|03:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240915|s029g    |259|02:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240916|s030h    |260|02:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20240921|s024h    |265|02:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20241002|s029h    |276|01:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20241112|s013i    |317|17:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20241123|s013j    |328|16:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20241130|s025i    |335|16:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20241207|s025j    |342|15:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20241221|s025k    |356|15:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20241223|s013k    |358|14:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20241226|s026i    |361|15:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250101|s027i    |  2|16:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250104|s026j    |  5|15:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250107|s027j    |  8|15:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250114|s026k    | 15|14:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250121|s027k    | 22|14:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250205|s028i    | 37|16:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250210|s028j    | 42|15:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250213|s029i    | 45|16:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250215|s021i    | 47|16:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250219|s030i    | 51|16:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250220|s024i    | 52|16:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250222|s028k    | 54|15:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250225|s021j    | 57|15:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250226|s030j    | 58|16:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250227|s029j    | 59|15:15|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250303|s030k    | 63|15:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250304|s021k    | 64|15:00|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250305|s024j    | 65|15:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250311|s029k    | 71|14:30|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
|SPIRALS     |20250318|s024k    | 78|14:45|09:00|CdHoKeYgWaHb? |UTAS|UTAS|
