|IVS-       |20231130|      |334|18:15|24:00|HbKeYgHo? |    |    |
|-----------------------------------------------------------------
|IVS-r1     |20231204|r1    |338|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-       |20231205|      |339|17:15|24:00|HbKeYgHo? |    |    |
|IVS-r4     |20231206|r4    |340|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20231207|      |341|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231211|r1    |345|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20231213|r4    |347|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20231214|      |348|18:15|24:00|HbKeYgHo? |    |    |
|IVS-r1     |20231218|r1    |352|17:15|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20231220|r4    |354|18:15|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-       |20231228|      |362|18:15|24:00|HbKeYgHo? |    |    |
|-----------------------------------------------------------------
|IVS-r1     |20240101|r1    |  1|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240103|r4    |  3|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240108|r1    |  8|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240110|r4    | 10|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240115|r1    | 15|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240117|r4    | 17|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240122|r1    | 22|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240124|r4    | 24|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240129|r1    | 29|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240131|r4    | 31|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|-----------------------------------------------------------------
|IVS-r1     |20240205|r1    | 36|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240207|r4    | 38|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240212|r1    | 43|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240214|r4    | 45|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240219|r1    | 50|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240221|r4    | 52|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240226|r1    | 57|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240228|r4    | 59|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|-----------------------------------------------------------------
|IVS-r1     |20240304|r1    | 64|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240306|r4    | 66|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240311|r1    | 71|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240313|r4    | 73|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240318|r1    | 78|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240320|r4    | 80|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240325|r1    | 85|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240327|r4    | 87|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|-----------------------------------------------------------------
|IVS-r1     |20240401|r1    | 92|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240403|r4    | 94|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240408|r1    | 99|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240410|r4    |101|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240415|r1    |106|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240417|r4    |108|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240422|r1    |113|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240424|r4    |115|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240429|r1    |120|17:00|24:00|HbKeYgHo? |NASA|BONN|
|-----------------------------------------------------------------
|IVS-r4     |20240501|r4    |122|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240506|r1    |127|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240508|r4    |129|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240513|r1    |134|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240515|r4    |136|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240520|r1    |141|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240522|r4    |143|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240527|r1    |148|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240529|r4    |150|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|-----------------------------------------------------------------
|IVS-r1     |20240603|r1    |155|17:00|24:00|HbKeYgHo? |NASA|BONN|
|IVS-r4     |20240605|r4    |157|18:30|24:00|HbKeYgHo? |UNSO|WASH|
|IVS-r1     |20240610|r1    |162|17:00|24:00|HbKeYgHo? |NASA|BONN|
